Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,c19_deaths,pneu_deaths,flu_deaths,pne_or_flu_deaths,pne_flu_c19_deaths,total_deaths
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Connecticut,All Ages,0,48,,53,53,624
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Connecticut,0-17 years,0,,0,,,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,10,10,129
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Connecticut,65 years and over,0,39,,42,42,490
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Delaware,All Ages,0,,,10,10,188
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Delaware,18-64 years,0,,0,,,36
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Delaware,65 years and over,0,,,,,148
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,District of Columbia,All Ages,0,,0,,,98
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,District of Columbia,0-17 years,0,0,0,0,0,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,District of Columbia,18-64 years,0,,0,,,36
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,District of Columbia,65 years and over,0,,0,,,61
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Florida,All Ages,0,262,27,289,289,"4,315"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Florida,0-17 years,0,,,,,49
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Florida,18-64 years,0,36,11,47,47,955
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Florida,65 years and over,0,225,14,239,239,"3,311"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Georgia,All Ages,0,99,26,125,125,"1,803"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Georgia,0-17 years,0,,0,,,26
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Georgia,18-64 years,0,26,15,41,41,520
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Georgia,65 years and over,0,71,11,82,82,"1,257"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Hawaii,All Ages,0,18,,19,19,241
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Hawaii,0-17 years,0,0,0,0,0,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Hawaii,18-64 years,0,,0,,,61
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Hawaii,65 years and over,0,14,,15,15,179
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alabama,All Ages,0,63,,70,70,"1,076"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alabama,0-17 years,0,,0,,,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alabama,18-64 years,0,14,,19,19,304
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alabama,65 years and over,0,48,,50,50,763
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alaska,All Ages,0,,0,,,103
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alaska,0-17 years,0,0,0,0,0,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alaska,18-64 years,0,,0,,,32
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,69
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arizona,All Ages,0,67,,75,75,"1,262"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arizona,0-17 years,0,,0,,,14
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arizona,18-64 years,0,11,,13,13,309
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arizona,65 years and over,0,55,,61,61,939
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arkansas,All Ages,0,42,,48,48,660
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arkansas,0-17 years,0,0,0,0,0,13
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arkansas,18-64 years,0,16,,17,17,184
